23:25:05:538 [WARN]	SSL certificate signed by unknown CA
23:25:05:539 [WARN]	SSL certificate signed by unknown CA
23:25:05:539 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:539 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:544 [WARN]	SSL certificate signed by unknown CA
23:25:05:544 [WARN]	SSL certificate signed by unknown CA
23:25:05:544 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:544 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:549 [WARN]	SSL certificate signed by unknown CA
23:25:05:549 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:549 [WARN]	SSL certificate signed by unknown CA
23:25:05:549 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:553 [WARN]	SSL certificate signed by unknown CA
23:25:05:553 [WARN]	SSL certificate signed by unknown CA
23:25:05:553 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:553 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
23:25:05:557 [WARN]	SSL certificate signed by unknown CA
23:25:05:557 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
